Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity
500003,,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.00,INE208C01025,Oil Marketing & Distribution,Equity
500004,,TPAEC,TORRENT POWER AEC LTD.,Delisted,B ,10.00,INE424A01014, ,Equity
500005,,AKARLAMIN,AKAR LAMINATORS LTD.,Delisted,XD,10.00,INE984C01013,Iron & Steel Products,Equity
500006,,ALPHADR,ALPHA DRUG INDIA LTD.,Delisted,B ,10.00,INE256B01026, ,Equity
500008,,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.00,INE885A01032,Auto Parts & Equipment,Equity
500009,,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10.00,INE432A01017,Pharmaceuticals,Equity
500010,,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.00,INE001A01036,Housing Finance ,Equity
500011,,AMRTMIL-BDM,AMRUT INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
500012,,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X ,10.00,INE714B01016,Commodity Chemicals,Equity
500013,,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5.00,INE436A01026,Realty,Equity
500014,,UTIQUE,Utique Enterprises Ltd,Active,X ,10.00,INE096A01010,Finance (including NBFCs),Equity
500015,,ICICIDM,ICICI LTD.,Delisted,B ,10.00,INE005A01011, ,Equity
500016,,ARUNAHTEL,ARUNA HOTELS LTD.,Active,XT,10.00,INE957C01019,Hotels,Equity
500018,,ARPOLDM,ARPOLDM,Delisted,B ,10.00,INE035A01018, ,Equity
500019,,BOR,BANK OF RAJASTHAN LTD.,Delisted,B ,10.00,INE320A01014,Banks,Equity
500020,,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.00,INE032A01023,Textiles,Equity
500021,,ASINCOF,ASINCOF,Delisted,Z ,10.00,NA          , ,Equity
500023,,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.00,INE363A01022,Hotels,Equity
500024,,ASSAMCO,Assam Company (India) Limited,Delisted,T ,1.00,INE442A01024,Tea & Coffee,Equity
500025,,ASSAMBR,ASSAMBROOK LTD.-$,Delisted,X ,10.00,INE353C01011,Tea & Coffee,Equity
500026,,ATSHIND,ATASH INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
500027,,ATUL,ATUL LTD.,Active,A ,10.00,INE100A01010,Specialty Chemicals,Equity
500028,,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.00,INE447A01015,Construction & Engineering,Equity
500029,,AUTOLITIND,AUTOLITE (INDIA) LTD.,Suspended,Z ,10.00,INE448A01013,Auto Parts & Equipment,Equity
500030,,AUTORIDFIN,AUTORIDERS FINANCE LTD.,Delisted,Z ,10.00,INE450A01019,Finance (including NBFCs),Equity
500031,,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.00,INE193E01025,Household Appliances,Equity
500032,,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1.00,INE306A01021,Sugar,Equity
500033,,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Cars & Utility Vehicles,Equity
500034,,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.00,INE296A01024,Finance (including NBFCs),Equity
500035,,BALAJIDI,BALAJI DISTILLERIES LTD.,Delisted,T ,10.00,INE453A01013,Breweries & Distilleries,Equity
500036,,BALAJIIND,BALAJI INDUSTRIAL CORPORATION LTD.,Delisted,X ,10.00,INE455A01018,Iron & Steel Products,Equity
500037,,BALMERL-B,BALMER LAWRIE FREIGHT CONTAINERS LTD.,Delisted,P ,10.00, ,Iron & Steel Products,Equity
500038,,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Sugar,Equity
500039,,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Auto Parts & Equipment,Equity
500040,,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Paper & Paper Products,Equity
500041,,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10.00,INE459A01010,Sugar,Equity
500042,,BASF,BASF INDIA LTD.,Active,A ,10.00,INE373A01013,Specialty Chemicals,Equity
500043,,BATAINDIA,BATA INDIA LTD.,Active,A ,5.00,INE176A01028,Footwear,Equity
500044,,RAYBAN,RAYBAN SUN OPTICS INDIA LTD.,Delisted,B ,10.00,INE854A01012, ,Equity
500045,,BELLARYS,BELLARY STEELS & ALLOYS LTD.,Delisted,XT,1.00,INE166C01025,Iron & Steel/Interm.Products,Equity
500046,,BECREL,BEST & CROMPTON ENGG.LTD.,Delisted,Z ,10.00,INE287A01015,Industrial Machinery,Equity
500047,,BETANAP,BETA NAPHTHOL LTD.,Delisted,Z ,10.00,NA          , ,Equity
500048,,BEML,BEML LTD.,Active,A ,10.00,INE258A01016,Commercial Vehicles,Equity
500049,,BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Defence,Equity
500050,,BHARATRA,BHARAT RASAYAN LTD.,Delisted,T ,10.00,INE838B01013, ,Equity
500051,,BHAGGAS,Bhagawati Gas Limited,Delisted,Z ,10.00,INE099C01010,Industrial Gases,Equity
500052,,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.00,INE922A01025,Specialty Chemicals,Equity
500053,,BHAZINC,BHARAT ZINC LTD.,Delisted,Z ,10.00,NA          , ,Equity
500054,,BHRTITE-B,BHRTITE-B,Delisted,Z ,10.00,NA          , ,Equity
500055,,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,2.00,INE824B01021,Iron & Steel/Interm.Products,Equity
500056,,UTIMRDM,MASTERGROWTH-93,Delisted,B ,10.00,INF189A01046, ,Equity
500057,,ABCIL,ADITYA BIRLA CHEMICALS (INDIA) LTD.,Delisted,B ,10.00,INE605B01016,Commodity Chemicals,Equity
500058,,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.00,INE819C01011,Iron & Steel/Interm.Products,Equity
500059,,BINANIIND,BINANI INDUSTRIES LTD.,Suspended,Z ,10.00,INE071A01013,Holding Companies,Equity
500060,,BIRLACABLE,Birla Cable Ltd,Active,B ,10.00,INE800A01015,Other Elect.Equip./ Prod.,Equity
500061,,ANVALDM,ANDHRA VALLEY POWER SUPPLY COMPANY LTD.,Delisted,B ,10.00,INE247A01019, ,Equity
500062,,ASHOKLEYFIN,ASHOK LEYLAND FINANCE LTD.,Delisted,B ,10.00,INE251A01011, ,Equity
500063,,OSWALCHEM,OSWAL CHEMICALS & FERTILIZERS LTD.,Delisted,B ,10.00,INE143A01010, ,Equity
500064,,BGFL,BIRLA GLOBAL FINANCE LTD.,Delisted,B ,10.00,INE097A01018, ,Equity
500067,,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.00,INE472A01039,Consumer Electronics,Equity
500068,,DISAQ,DISA INDIA LTD.,Active,X ,10.00,INE131C01011,Industrial Machinery,Equity
500069,,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,X ,10.00,INE418C01012,Other Financial Services,Equity
500070,,BOP,BANK OF PUNJAB LTD.,Delisted,B ,10.00,INE458A01012, ,Equity
500072,,BONGAIREFN,BONGAIGAON REFINERY & PETROCHEMICALS LTD.,Delisted,B ,10.00,INE241A01012, ,Equity
500073,,BPLENG,BPL ENGINEERING LTD.,Delisted,B ,10.00,INE108A01013, ,Equity
500074,,BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Electronics,Equity
500075,,NAGARFER,NAGARJUNA FERTILIZERS & CHEMICALS LTD.,Delisted,B ,10.00,INE580A01013,Fertilizers,Equity
500076,,BURROWEL,BURROUGHS WELLCOME (INDIA) LTD.,Delisted,B ,10.00,INE157A01010, ,Equity
500077,,CCI,CABLE CORPORATION OF INDIA LTD.,Delisted,B ,10.00,INE475A01016,Other Elect.Equip./ Prod.,Equity
500078,,OAL,Oriental Aromatics Ltd-$,Active,B ,5.00,INE959C01023,Specialty Chemicals,Equity
500079,,CARIR,CARRIER AIRCON LTD.,Delisted,B ,10.00,INE480A01016, ,Equity
500080,,CAUVERSOFT,CAUVERY SOFTWARE ENGINEERING SYSTEMS LTD.,Delisted,B ,10.00,INE466B01013,IT Software Products,Equity
500081,,CELEINT,CELESTE INTERNATIONAL LTD.,Delisted,Z ,10.00,NA          , ,Equity
500082,,CENCHDM,CENTAK CHEMICALS LTD.,Delisted,B ,10.00,INE942A01015, ,Equity
500083,,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.00,INE281A01026,Aluminium,Equity
500084,,CESC,CESC LTD.,Active,A ,10.00,INE486A01013,Electric Utilities,Equity
500085,,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.00,INE085A01013,Fertilizers,Equity
500086,,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Auto Parts & Equipment,Equity
500087,,CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity
500089,,DICIND,DIC INDIA LTD.,Active,B ,10.00,INE303A01010,Specialty Chemicals,Equity
500090,,MADUCOA,MADURA COATS LTD.,Delisted,B ,10.00,INE122A01014, ,Equity
500091,,COREPARENT,CORE HEALTHCARE LTD.,Delisted,B ,10.00,INE494A01017,Pharmaceuticals,Equity
500092,,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity
500093,,CGPOWER,CG Power and Industrial Solutions Ltd,Active,B ,2.00,INE067A01029,Heavy Electrical Equipment,Equity
500094,,CTCOTTON,CT COTTON YARN LTD.,Delisted,XD,10.00,INE107D01019,Textiles,Equity
500095,,WYETH,WYETH LTD.,Delisted,B ,10.00,INE378A01012,Pharmaceuticals,Equity
500096,,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity
500097,,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Sugar,Equity
500098,,SKYLNEPC,SKYLINE NEPC LTD.,Delisted,B ,10.00,INE575B01011, ,Equity
500099,,CENTINPO,CENTRAL INDIA POLYESTERS LTD.,Delisted,B ,10.00,INE496A01020, ,Equity
500100,,DAEWOO,DAEWOO MOTORS (INDIA) LTD.,Delisted,XD,10.00,INE497A01010,Cars & Utility Vehicles,Equity
500101,,ARVIND,ARVIND LTD.,Active,A ,10.00,INE034A01011,Textiles,Equity
500102,,BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,Z ,2.00,INE294A01037,Paper & Paper Products,Equity
500103,,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity
500104,,HINDPETRO*,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Refineries/ Petro-Products,Equity
500105,,IPCL,INDIAN PETROCHEMICALS CORP.LTD.,Delisted,B ,10.00,INE006A01019, ,Equity
500106,,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Institutions,Equity
500107,,JINDALIRON,JINDAL IRON & STEEL CO.LTD.,Delisted,B ,10.00,INE020A01010, ,Equity
500108,,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B ,10.00,INE153A01019,Telecom Services,Equity
500109,,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Refineries/ Petro-Products,Equity
500110,,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE178A01016,Refineries/ Petro-Products,Equity
500111,,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,B ,10.00,INE013A01015,Finance (including NBFCs),Equity
500112,,SBIN,STATE BANK OF INDIA,Active,A ,1.00,INE062A01020,Banks,Equity
500113,,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron & Steel/Interm.Products,Equity
500114,,TITAN,Titan Company Limited,Active,A ,1.00,INE280A01028,Other Apparels & Accessories,Equity
500115,,MSTRP,MSTRP,Delisted,Z ,10.00,INF189A01061, ,Equity
500116,,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Banks,Equity
500117,,DCW,DCW LTD.,Active,B ,2.00,INE500A01029,Petrochemicals,Equity
500119,,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A ,10.00,INE041A01016,Sugar,Equity
500120,,DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,X ,10.00,INE591D01014,Specialty Chemicals,Equity
500121,,DIGITAL,DIGITAL GLOBALSOFT LTD.,Delisted,B ,10.00,INE124A01010, ,Equity
500122,,AMBUJACEMR,AMBUJA CEMENT RAJASTHAN LTD.,Delisted,Z ,10.00,INE125A01017, ,Equity
500123,,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,A ,10.00,INE280B01018,Commodity Chemicals,Equity
500124,,DRREDDY,DR.REDDY&#39;S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Pharmaceuticals,Equity
500125,,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.00,INE126A01031,Sugar,Equity
500126,,PGHL,Procter & Gamble Health Ltd,Active,A ,10.00,INE199A01012,Pharmaceuticals,Equity
500127,,ESTMNAL,EASTERN MINING & ALLIED LTD.,Delisted,P ,10.00,NA          ,Coal,Equity
500128,,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.00,INE086A01029,Construction & Engineering,Equity
500129,,ELAUPAR-BDM,ELGI AUTO PARTS LTD.,Delisted,Z ,10.00,NA          , ,Equity
500130,,ELGIF,ELGI FINANCE LTD.,Delisted,T ,10.00,INE424D01018,Finance (including NBFCs),Equity
500131,,ELGITR,ELGITREAD (INDIA) LTD.,Delisted,B ,1.00,INE257B01024, ,Equity
500132,,EMPEESUG,EMPEE SUGARS & CHEMICALS LTD.,Suspended,Z ,10.00,INE928B01012,Sugar,Equity
500133,,ESABINDIA,ESAB INDIA LTD.,Active,A ,10.00,INE284A01012,Other Industrial Goods,Equity
500134,,ESSAROIL,ESSAR OIL LTD.,Delisted,A ,10.00,INE011A01019,Integrated Oil & Gas,Equity
500135,,EPL,EPL Ltd,Active,A ,2.00,INE255A01020,Containers & Packaging,Equity
500136,,ESTER,ESTER INDUSTRIES LTD.,Active,B ,5.00,INE778B01029,Containers & Packaging,Equity
500138,,UNIWORTHT,UNIWORTH TEXTILES LTD.,Suspended,X ,10.00,INE486C01019,Textiles,Equity
500139,,FEDDERELEC,Fedders Electric and Engineering Ltd,Suspended,Z ,10.00,INE249C01011,Other Elect.Equip./ Prod.,Equity
500140,,FEMNORM-B,FEMNOR MINERAL (INDIA) LTD.,Delisted,Z ,10.00,NA          , ,Equity
500141,,FERROALL,FERRO ALLOYS CORPORATION LTD.,Delisted,X ,1.00,INE912A01026,Iron & Steel/Interm.Products,Equity
500142,,FGP,FGP LTD.,Suspended,XT,10.00,INE512A01016,Finance (including NBFCs),Equity
500143,,PHCAP,PH CAPITAL LTD.,Active,X ,10.00,INE160F01013,Comm.Trading  & Distribution,Equity
500144,,FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.00,INE235A01022,Other Elect.Equip./ Prod.,Equity
500145,,FIRSTLEASE,FIRST LEASING CO.OF INDIA LTD.,Delisted,Z ,10.00,INE492B01019,Finance (including NBFCs),Equity
500147,,COCKERILL,John Cockerill India Ltd-$,Active,X ,10.00,INE515A01019,Industrial Machinery,Equity
500148,,UFLEX,UFLEX LTD.,Active,A ,10.00,INE516A01017,Containers & Packaging,Equity
500149,,FLOAI,FLOATGLASS INDIA LTD.,Delisted,B ,10.00,INE517A01015, ,Equity
500150,,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10.00,INE519A01011,Commodity Chemicals,Equity
500151,,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,B ,10.00,INE973A01010,Cigarettes-Tobacco Products,Equity
500152,,GRMAG,G.R.MAGNETS LTD.,Delisted,Z ,10.00,INE523A01013, ,Equity
500153,,GANESHBE,GANESH BENZOPLAST LTD.,Active,X ,1.00,INE388A01029,Commodity Chemicals,Equity
500154,,FOSCL,FUTURISTIC OFFSHORE SERVICES & CHEMICAL LTD.,Suspended,X ,10.00,INE418A01016,Commodity Chemicals,Equity
500155,,GARDENSILK,GARDEN SILK MILLS LTD.,Delisted,B ,10.00,INE526A01016,Textiles,Equity
500156,,GRMNR,GERMAN REMEDIES LTD.,Delisted,B ,10.00,INE382A01014, ,Equity
500157,,GICBALN-B,GICBALN-B,Delisted,Z ,10.00,NA          , ,Equity
500158,,GICBGVL-B,GICBGVL-B,Delisted,Z ,10.00, , ,Equity
500159,,METROGLOBL,Metroglobal Limited,Active,X ,10.00,INE085D01033,Paper & Paper Products,Equity
500160,,GTL,GTL LTD.,Active,B ,10.00,INE043A01012,Other Telecom Services,Equity
500161,,GTB,GLOBAL TRUST BANK LTD.,Delisted,T ,10.00,INE130A01017, ,Equity
500162,,PARRYSUGAR,PARRYS SUGAR INDUSTRIES LTD.,Delisted,B ,10.00,INE353B01021,Sugar,Equity
500163,,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.00,INE260B01028,Cigarettes-Tobacco Products,Equity
500164,,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.00,INE233A01035,Commodity Chemicals,Equity
500165,,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.00,INE531A01024,Furniture-Furnishing-Paints,Equity
500166,,GOODRICKE,GOODRICKE GROUP LTD.,Active,X ,10.00,INE300A01016,Tea & Coffee,Equity
500167,,GOVMC,GOOD VALUE MARKETING CO.LTD.,Delisted,Z ,10.00,INE532A01014,Fertilizers,Equity
500168,,GOODYEAR,GOODYEAR INDIA LTD.,Active,A ,10.00,INE533A01012,Auto Tyres & Rubber Products,Equity
500169,,GRPCOMI,GRAPCO MINING & CO.LTD.,Delisted,Z ,10.00,NA          , ,Equity
500170,,GTNINDS,GTN INDUSTRIES LTD.,Active,B ,10.00,INE537A01013,Textiles,Equity
500171,,GHCL,GHCL LTD.,Active,A ,10.00,INE539A01019,Commodity Chemicals,Equity
500173,,GFLLIMITED,GFL Ltd,Active,A ,1.00,INE538A01037,Industrial Gases,Equity
500174,,GLFL,GUJARAT LEASE FINANCING LTD.,Active,B ,10.00,INE540A01017,Finance (including NBFCs),Equity
500175,,GTCL,GUJARAT TELEPHONE CABLES LTD.,Delisted,B ,10.00,INE261B01018, ,Equity
500176,,HAMCMIN-B,HAMCO MINING & SMELTING LTD.,Delisted,Z ,10.00,NA          , ,Equity
500177,,HANILERA,HANIL ERA TEXTILES LTD.,Delisted,T ,10.00,INE021D01012,Textiles,Equity
500178,,HARCR,HARIG CRANKSHAFTS LTD.,Suspended,X ,1.00,INE905C01026,Auto Parts & Equipment,Equity
500179,,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,B ,2.00,INE236A01020,Computer Hardware,Equity
500180,,HDFCBANK,HDFC Bank Ltd,Active,A ,1.00,INE040A01034,Banks,Equity
500181,,HRBTSON-B,HERBERTSONS LTD.,Delisted,B ,10.00,INE546A1014 , ,Equity
500182,,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.00,INE158A01026,2/3 Wheelers,Equity
500183,,HFCL,HFCL Ltd,Active,A ,1.00,INE548A01028,Telecom Cables,Equity
500184,,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1.00,INE019C01026,Specialty Chemicals,Equity
500185,,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.00,INE549A01026,Construction & Engineering,Equity
500186,,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A ,10.00,INE345A01011,Exploration & Production,Equity
500187,,HSIL,HSIL LTD.,Active,B ,2.00,INE415A01038,Containers & Packaging,Equity
500188,,HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.00,INE267A01025,Zinc,Equity
500189,,NXTDIGITAL,Nxtdigital Ltd,Active,B ,10.00,INE353A01023,Broadcasting & Cable TV,Equity
500190,,HITDRDM,HITECH DRILLING SERVICES INDIA LTD.,Delisted,B ,10.00,INE555A01015, ,Equity
500191,,HMT,HMT LTD.,Active,Z ,10.00,INE262A01018,Commercial Vehicles,Equity
500192,,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,XT,10.00,INE962B01011,Textiles,Equity
500193,,HLVLTD,HLV Ltd,Active,B ,2.00,INE102A01024,Hotels,Equity
500195,,HOTLINGLAS,HOTLINE GLASS LTD.,Delisted,XD,10.00,INE676B01017,Consumer Electronics,Equity
500197,,HTSUMAG,HYTAISUN MAGNETICS LTD.,Delisted,Z ,10.00,NA          , ,Equity
500198,,IBP,IBP CO.LTD.,Delisted,B ,10.00,INE261A01010, ,Equity
500199,,IGPL,I G PETROCHEMICALS LTD.,Active,B ,10.00,INE204A01010,Commodity Chemicals,Equity
500201,,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,A ,10.00,INE560A01015,Commodity Chemicals,Equity
500202,,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Active,X ,10.00,INE333C01013,Finance (including NBFCs),Equity
500203,,INDPOLY,INDIA POLYFIBRES LTD.,Delisted,B ,10.00,INE860C01015, ,Equity
500204,,INDSEC,INDIA SECURITIES LTD.,Delisted,B ,1.00,INE134A01035,Other Financial Services,Equity
500206,,MARGOFIN,Margo Finance Limited,Active,X ,10.00,INE680B01019,Finance (including NBFCs),Equity
500207,,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,B ,10.00,INE156A01020,Textiles,Equity
500208,,INDUNISS,INDU NISSAN OXO-CHEMICAL INDUSTRIES LTD.,Delisted,X ,10.00,INE599C01019,Commodity Chemicals,Equity
500209,,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting & Software,Equity
500210,,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,A ,10.00,INE177A01018,Industrial Machinery,Equity
500211,,INSILCO,INSILCO LTD.,Active,X ,10.00,INE901A01011,Other Industrial Goods,Equity
500212,,IFSL,INTEGRATED FINANCIAL SERVICES LTD.,Active,XT,10.00,INE898B01017,Finance (including NBFCs),Equity
500213,,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,X ,10.00,INE262B01016,Travel Support Services,Equity
500214,,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,A ,10.00,INE570A01014,Industrial Machinery,Equity
500215,,ATFL,AGRO TECH FOODS LTD.,Active,A ,10.00,INE209A01019,Other Agricultural Products,Equity
500216,,ITCHOTEL,ITC HOTELS LTD.,Delisted,B ,10.00,INE379A01010, ,Equity
500217,,ITWSGDM,ITW SIGNODE INDIA LTD.,Delisted,B ,10.00,INE240A01014, ,Equity
500218,,JKPHARMA,J.K.PHARMACHEM LTD.,Suspended,X ,10.00,INE335C01018,Pharmaceuticals,Equity
500219,,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.00,INE175A01038,Plastic Products,Equity
500220,,JASCH,JASCH INDUSTRIES LTD.,Active,X ,10.00,INE711C01010,Textiles,Equity
500221,,JPHOTEL,JAYPEE HOTELS LTD.,Delisted,T ,10.00,INE851A01018, ,Equity
500222,,JCTEL,JCT ELECTRONICS LTD.,Delisted,XT,1.00,INE264B01020,Consumer Electronics,Equity
500223,,JCTLTD,JCT LTD.,Active,X ,2.50,INE945A01026,Textiles,Equity
500224,,JNDST,JNDST,Delisted,B ,10.00,INE023A01014, ,Equity
500226,,CONSOFIN,CONSOLIDATED FINVEST & HOLDINGS LTD.,Delisted,B ,10.00,INE025A01027, ,Equity
500227,,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,A ,10.00,INE197D01010,Containers & Packaging,Equity
500228,,JSWSTEEL,JSW STEEL LTD.,Active,A ,1.00,INE019A01038,Iron & Steel/Interm.Products,Equity
500229,,JINDVJY,JINDVJY,Delisted,Z ,10.00,NA          , ,Equity
500230,,JINDALV,JINDALV,Delisted,Z ,10.00,NA          , ,Equity
500231,,UMANGDAIR,UMANG DAIRIES LTD.,Active,B ,5.00,INE864B01027,Packaged Foods,Equity
500232,,JORDENG-B,JORD ENGINEERS INDIA LTD.,Delisted,P ,10.00,INE666F01019,Industrial Machinery,Equity
500233,,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A ,1.00,INE217B01036,Furniture-Furnishing-Paints,Equity
500234,,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,B ,10.00,INE437B01014,Cement & Cement Products,Equity
500235,,KSL,KALYANI STEELS LTD.,Active,A ,5.00,INE907A01026,Iron & Steel/Interm.Products,Equity
500236,,KANELIND,Kanel Industries Limited,Active,XT,10.00,INE252C01015,Comm.Trading  & Distribution,Equity
500237,,KEDIADI-B,KEDIA DISTILLERIES LTD.,Delisted,Z ,10.00,NA          , ,Equity
500238,,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A ,10.00,INE716A01013,Consumer Electronics,Equity
500239,,KGDENIM,KG DENIM LTD.,Active,X ,10.00,INE104A01012,Textiles,Equity
500240,,KINETICENG,KINETIC ENGINEERING LTD.,Active,XT,10.00,INE266B01017,2/3 Wheelers,Equity
500241,,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,B ,2.00,INE732A01036,Industrial Machinery,Equity
500242,,KIRPNDM,KIRLOSKAR PNEUMATIC CO.LTD.,Delisted,B ,10.00,INE328A01017, ,Equity
500243,,KIRLOSIND,Kirloskar Industries Ltd,Active,B ,10.00,INE250A01039,Industrial Machinery,Equity
500245,,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,B ,5.00,INE884B01025,Iron & Steel/Interm.Products,Equity
500246,,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,XT,10.00,INE601C01013,Industrial Machinery,Equity
500247,,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.00,INE237A01028,Banks,Equity
500248,,KRIFILIND,Krishna Filament Industries Ltd,Active,XT,10.00,INE073A01019,Plastic Products,Equity
500249,,KSB,KSB Ltd,Active,A ,10.00,INE999A01015,Industrial Machinery,Equity
500250,,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Active,A ,10.00,INE337A01034,Auto Parts & Equipment,Equity
500251,,TRENT,TRENT LTD.,Active,A ,1.00,INE849A01020,Specialty Retail,Equity
500252,,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A ,10.00,INE269B01029,Industrial Machinery,Equity
500253,,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.00,INE115A01026,Housing Finance ,Equity
500254,,UTTAMVALUE,UTTAM VALUE STEELS LTD.,Delisted,B ,1.00,INE292A01023,Iron & Steel/Interm.Products,Equity
500255,,LML,LML LTD.,Delisted,X ,10.00,INE862A01015,2/3 Wheelers,Equity
500256,,LOKHSG,LOK HOUSING & CONSTRUCTIONS LTD.-$,Delisted,Z ,10.00,INE367C01011,Realty,Equity
500257,,LUPIN,LUPIN LTD.,Active,A ,2.00,INE326A01037,Pharmaceuticals,Equity
500258,,LUPINDM,LUPIN LABORATORIES LTD.,Delisted,B ,10.00,INE327A01019, ,Equity
500259,,LYKALABS,LYKA LABS LTD.,Active,T ,10.00,INE933A01014,Pharmaceuticals,Equity
